message,label
我以為我拍的什麼不雅照趕快收回,正常-normal
我終於找到一個會吃茄子的人�,正常-normal
蜂鳥不知道追的追不上你,正常-normal
為什麼要聊色？,正常-normal
對啊��我被主管逼的�,正常-normal
自嗨呢,正常-normal
逼我講著髒話,正常-normal
感覺你的乳頭就很色,色情-sex word
喜歡跟男人肛交嗎,色情-sex word
不聊色,正常-normal
哈哈哈哈哈 好色喔,色情-sex word
不然他穿露奶 他們說的不能啊哈哈哈,色情-sex word
妳的胸部很大嗎？,色情-sex word
我覺得女生的胸部夠我一隻手抓柔，一口吸舔就夠了～�,色情-sex word
性事不合,色情-sex word
Nono 我不約砲,正常-normal
猛幹你之類的��,色情-sex word
好色好好笑,色情-sex word
有胸更好�,色情-sex word
我在這看過形形色色 不可能只有人妻,正常-normal
"不是啦！妳不是問我會是男女朋友還是性伴侶嗎？我不是說得看彼此雙方面！
我是反過來問妳，換作是妳，妳會怎麼決定啦？",色情-sex word
所以你有收到過私密處的照片喔,色情-sex word
按摩？,色情-sex word
這裡不會很多人找你色色嗎,色情-sex word
算了我還是先去洗澡再說,正常-normal
但我不是會約砲的人,正常-normal
"我看到了 你修到曝光耶
基本上你的構圖跟對焦就沒對好了
修的時候就不會太好

一開始拍的時候就要注意

但你為什麼要修啊？ 原圖就可以了啊

啊日本爺爺耶���
你不喜歡排隊？

你這樣吊我胃口 我會很好奇～～
我看你應該對自己聲音有自信吧
還在那裡羞恥～嘖嘖唷～

呃 我覺得好像不會吧�
通電話是會瞬間尷尬耶
一直呃呃呃不知道要接什麼？�！

對啊這是很現實的問題
就結婚有點麻煩但不結婚就沒有一個目標
可能兩個人要有共識
大方向要一至 細節就不要那麼仔細了
分開的原因不就是因為你不避嫌��


有一陣子了吧 沒車很不方便啊～
這幾天都熬夜到凌晨�累

就是感情方面 雙向溝通跟奔赴
那是個人選擇問題⋯⋯⋯⋯
一直外遇也太悲觀了吧⋯⋯⋯⋯
很沈悶的耶～


好～如果你怕買錯 可以再拍照給我看～～
所以我才要你買很難買的���✌��

你搭車 沒有搭捷運或者計程車喔？
Outlet 好逛嗎？
哇噻是怎樣 多一個人就拖到時間了是吧⋯⋯⋯⋯⋯⋯


����好啦看在你很努力幫我買唇膏的份上 心情比較好一點�

��啊 可是我想要你去吃吃看���

好啦～～�",正常-normal
色色的味道,色情-sex word
是還在已婚好多喔,正常-normal
我都喝手沖咖啡～,正常-normal
直接睡過頭,正常-normal
我不是一個沒感覺但能打砲的人��,色情-sex word
系統可能覺得我講幹話,正常-normal
兩個人想長久穩定在一起不就應該是互相了解 相處覺得相處合適考慮在一起的嗎☺️☺️☺️ 如果真怕性事不合 去找人約砲約一約覺得合就在一起啊,色情-sex word
就是一堆人有你這種想法所以才會有那麼多約砲仔呢☺️☺️☺️,正常-normal
那麼逼自己啊,正常-normal
美呀啊，大屁股�,色情-sex word
不洗澡嘛,正常-normal
好色噢,色情-sex word
我很討厭那種一個禮拜就暈得咪咪冒冒的,正常-normal
我配不上你啦,正常-normal
洗車沒有順便洗澡啊,正常-normal
"上班聊色
爽爽",色情-sex word
讓你意淫一下,色情-sex word
要去洗澡了,正常-normal
我懂了 哈哈哈 因為都去洗澡泡澡的,正常-normal
而我在洗澡，跟…….我還沒整理床哈哈,正常-normal
你說這句話就是要我說我幫你按摩就好阿,正常-normal
好阿 你怎麼現在洗澡��,正常-normal
你說在路上遇到砲友嗎？,正常-normal
我建議妳找女師傅幫妳按摩就不用擔心。,正常-normal
推胸推肚子女客人我都有推過.如果妳不相信我.我寧願不按摩妳.這樣妳累我也累。,正常-normal
想要做愛哈哈哈,色情-sex word
"足部按摩40分鐘
肩頸20分鐘",正常-normal
男生可能看到裸體就可以,色情-sex word
吃香蕉～��,色情-sex word
也要吸你乳頭,色情-sex word
那個同事是坐我隔壁的一個已婚男同事,正常-normal
別睡過頭了餒,正常-normal
想被哥哥的大棒棒教訓,色情-sex word
被大棒棒調戲,色情-sex word
剛剛在洗澡啊,正常-normal
你去台中出差吧,正常-normal
不約ㄆ不聊色的嗎,色情-sex word
我又不是要嫖妓,正常-normal
我是位按摩師,正常-normal
呵呵～是別人已婚...,正常-normal
"那些沒老婆的，在這裡找性對象那就算了...
更何況還是有老婆的，都有老婆可抱了，何必還來找性對象，何況本身的已婚條件就差了吧！",正常-normal
"9月初在探探上遇到了一個我覺得適合不錯的另一半 
他33歲大我11歲，然後牡羊座
一開始我們在探探上面認識 
他就約我去看夜景，然後他是在逢甲開飲料店的老闆，一開始他對我很紳士我們聊的也蠻投合的 我們沒有所謂的一開始見面就要約砲什麼的，雙方都是有想要好好認識相處
都是在找一個緣分的，然後他約我看完夜景後，就又很積極的約我下次去吃飯啊，那時候剛好那幾天都颱風天會下雨他還主動說要載我上下班，然後會為了我提早收店來陪我，一開始都對我很好，後來我們慢慢彼此雙方說要在一起後，他就變了，他就開始說要忙店的工作，然後後來他就開始覺得我給他的愛讓他覺得太窒息，其實我一開始就有跟他聊過說我很黏另一半很容易沒有安全感，他就說他喜歡另一半黏什麼的，然後我9月的時候那時候身體不是很好，經期延長，結束後又發炎然後又感冒生病，我那時候只是單純希望他來照顧我，他就覺得說我不能體諒他要開店沒時間，然後我生病他還怕我傳染給他員工要我不要去店找他，我當下就覺得說你沒有來照顧我就算了，說這樣真的覺得很自私，然後他就開始覺得說他怕他沒做到我要求他的事我會不開心，但是我並沒有，就只是那時候單純希望他來照顧我陪我，他卻覺得我在要求他，讓他覺得壓力大，他想要無所求的關係相處無壓力，
所謂無所求的關係就是他也沒有要求我為他做什麼但是我做到了他會很開心沒做到他也不會生氣，但是他就是自己覺得我會生氣所以壓力大，但是很好笑他很喜歡要求我什麼雖然都是為我好，但是我卻不能要求他來陪我跟我見面生病來照顧我….",正常-normal
還好走之前沒有甚麼痛苦，因為是腦神經的疾病，牠感覺不太到，主要顯性病症是顛顯，其他就是免疫系統會攻擊自己的身體。,正常-normal
按摩？逛街？,色情-sex word
（按摩,色情-sex word
我以為可以講講幹話诶,正常-normal
他逼我要換一件雨衣(;´༎ຶД༎ຶ`),正常-normal
會一起睡過頭這樣嘛,正常-normal
還不洗澡 等等就會睡著唷,正常-normal
陪睡�,色情-sex word
讓我可以去按摩一樣�,正常-normal
性事方面嗎�,色情-sex word
多做愛 會好很多,色情-sex word
真想看你自慰,色情-sex word
我慢慢的從胸部離開 手也同時離開了三地帶,色情-sex word
等一下要去洗澡,正常-normal
男人嘛，好色是天性,正常-normal
我的嘴巴來到了乳頭,色情-sex word
我看yt有的人在洗澡。貓會想要進去救他,正常-normal
另一隻手同時也揉著妳的胸部,色情-sex word
我先去洗澡ㄛ��,正常-normal
洗澡了嗎,正常-normal
叫肉球��,正常-normal
你先去洗澡吧,正常-normal
約砲嗎,色情-sex word
我還沒去洗澡呢����,正常-normal
喜歡摸龜頭嗎��,色情-sex word
哄睡妳�,正常-normal
我現在滿想回家洗澡的,正常-normal
子宮內膜異位 沾黏 今年又多一個子宮頸細胞病變 去年多了氣喘,正常-normal
我昨天沒洗澡,正常-normal
都還沒按摩到又要進去了,色情-sex word
我很怕我明天又睡過頭�‍��‍��‍�,正常-normal
我先去洗澡 我怕太晚會吵到爸媽�,正常-normal
我只是幫忙按摩胸部而已,色情-sex word
時間就跟乳溝一樣擠一下...,色情-sex word
可以內射,色情-sex word
冒昧問一下體重是多少,正常-normal
牛逼 我在新竹都要被風吹走了,正常-normal
妳今天有空嗎我放假.妳想按摩嗎？我幫妳按摩。,色情-sex word
總不可能在咖啡廳百貨公司按摩,正常-normal
我先來去洗澡 等等再聊 除非你還沒睡（？,正常-normal
我喜歡粉紅色肉球,正常-normal
我家逼仔晚上都會跑滾輪把我吵醒～你的free 感覺好乖,正常-normal
妳今天睡過頭欸,正常-normal
但你能接受性欲很強的嗎,色情-sex word
那你趕快去洗澡讀書吧,正常-normal
這胸部 會不會太誇張一點點,色情-sex word
可惡好想抽插你,色情-sex word
能跟你的感覺很性福,色情-sex word
按摩,色情-sex word
不熟別聊色,正常-normal
青春的肉體���,色情-sex word
去按摩。哈哈,色情-sex word
全身痠痛 記得回家要按摩+收操+拉伸,正常-normal
我覺得你差不多要去睡了不然明天又睡過頭,正常-normal
是蠻多想約砲的 感覺很噁心哈哈,正常-normal
情色,色情-sex word
辛苦了（按摩,色情-sex word
算被逼的就對了哈哈,正常-normal
要是有大屁股的更好看�,色情-sex word
讓兩邊乳頭都翹高高,色情-sex word
而且我都有戴套,色情-sex word
好奇跟約炮有關係？�,色情-sex word
對姐姐當然要色咪咪呀,色情-sex word
色瞇瞇也要色咪咪,色情-sex word
剛洗澡好,正常-normal
學長不可以色色�,正常-normal
約砲？,色情-sex word
等我一下我在洗澡,正常-normal
對 我賣人器官嗎哈哈,正常-normal
賣菜賣魚賣肉嗎�️,正常-normal
好啦～快去洗澡睡覺！！我要認真上班一下,正常-normal
怎樣算色情,正常-normal
這樣就是泡友了哇,色情-sex word
我要去洗澡睡覺了,正常-normal
還要有胸有�,色情-sex word
是足底按摩那種？,正常-normal
我覺得找吃的你會比較不方便欸 那邊吃得感覺很少 加上你又開車 會小麻煩 都要往新市或善化開,正常-normal
所以寶貝最想要的是讓我射進去射滿滿囉,色情-sex word
但我現在沒人跟我打砲,色情-sex word
我先洗澡ㄛ,正常-normal
一堆男的要約炮,正常-normal
我交過摩羯砲友 蠻棒的耶,色情-sex word
我講幹話��,正常-normal
第一天可能就有性關係之類也是正常,色情-sex word
是學長好色�,色情-sex word
洗澡了哦,正常-normal
我幹話總是偏多一點,正常-normal
跟上你的腳步,正常-normal
對我要去洗澡了,正常-normal
不會啦可可愛愛的,正常-normal
是外部器官還是內部器官,色情-sex word
下班太累可以去按摩,正常-normal
還是肉體出軌,色情-sex word
剛剛帶我接我兒子洗澡回來,正常-normal
習慣了~我先洗澡~你想聊在說~下雨騎車~想先洗熱水澡放鬆一下,正常-normal
要不要愛愛,色情-sex word
你是上來找人幹話的嗎,正常-normal
現在的天氣真的比較涼了，不然夏天時 搭完帳篷就想洗澡了�,正常-normal
腳開開 小母狗,色情-sex word
想要了嗎 小母狗,色情-sex word
自願嗎 還是被逼得,正常-normal
但我搞不好是看片都不怕 身臨其境會怯場那種�,正常-normal
我一邊裸體洗澡右手在回妳��,色情-sex word
我先去洗澡,正常-normal
哪有學長一直想跟我打砲�,色情-sex word
線上按摩一下嗎�,色情-sex word
對了早上妳回我訊息妳是不是沒什麼睡啊,正常-normal
你要把會按摩寫上去交友條件那邊,正常-normal
哈 直有胸,色情-sex word
難怪我有一個男的朋友，說這個交友網站都是約一夜情的�,正常-normal
所以我被逼急了,正常-normal
這樣我老公戴套,色情-sex word
超級口愛,正常-normal
你的職業怎麼說哦齁 聽起來好色,正常-normal
還是他跟那女的就是砲友會玩太嗨最後只能結婚,正常-normal
我今天沒有睡過頭,正常-normal
那你是乾媽嗎,正常-normal
我的肉棒插妳陰唇裡,色情-sex word
雪莉以前會跟男友一起洗澡，幫彼此擦澡嗎,色情-sex word
這禮拜有約叫上你,正常-normal
妹妹的按摩棒是電動的吧，會習慣開很強嗎,色情-sex word
色色,色情-sex word
男性友人 該不會是男朋友�,正常-normal
先去洗澡,正常-normal
我覺得按摩很好很可以增加熟悉度,色情-sex word
陪伴、散步、洗澡、備餐，買菜、管灌、翻身拍背、肢體關節活動,正常-normal
聊色色嗎,色情-sex word
抓胸部,色情-sex word
報告！小朋友剛剛去洗澡了�,正常-normal
我其實幹話蠻多的,正常-normal
肛交的話 我有朋友可以介紹給你,色情-sex word
你太口愛了捏,正常-normal
先洗澡,正常-normal
捏胸部比較多,色情-sex word
因為你一臉看起來就只想打砲,色情-sex word
不保有目的性聊,正常-normal
可能有人會為了想按摩,正常-normal
夜按摩 聽起來好像做黑的�,正常-normal
有乖乖到家很棒！那休息一下就要趕快去洗澡了哦好不好！,正常-normal
剛剛洗澡哈哈哈,正常-normal
太清楚太進身裸露,色情-sex word
一直被逼掉,正常-normal
女生有胸部屁股脂肪比例應該會比較高,色情-sex word
哈哈哈哈我查到了 原來是女優哈哈哈,正常-normal
那那妳先去洗澡唄,正常-normal
生出來就黑肉體,正常-normal
哈哈被老師逼著回學校讀書的,正常-normal
加上你們也缺人吧,正常-normal
有沒有做愛就看感覺了,色情-sex word
"先押頭下去
抓著頭先抽插嘴嘴",色情-sex word
不停的抽插,色情-sex word
我又不是找砲友,正常-normal
男生都是色色的,色情-sex word
我先來洗澡,正常-normal
要洗澡了,正常-normal
難過時，我去洗澡比較舒服,正常-normal
只是該洗澡了,正常-normal
後來小三被逼拿掉,正常-normal
趕得上你睡覺前密你了�,正常-normal
做臉按摩的��,正常-normal
還沒洗澡欸,正常-normal
有在洗澡嗎,正常-normal
我剛運動回來先去洗澡�,正常-normal
還要洗澡改考卷,正常-normal
剛剛去按摩了,正常-normal
嗯嗯 可是不是都想約砲多��,正常-normal
那你睡過幾個ㄌ,色情-sex word
你連乳頭都沒拍耶,色情-sex word
人勒 洗澡嗎？,正常-normal
那妳的胸部很大啊～,色情-sex word
你這個換藥要小心 洗澡也要注意,正常-normal
原本要坐統聯但我睡過頭�,正常-normal
露營 （？）我喜歡大家聚在一起講講幹話的感覺�,正常-normal
我每天上班按摩女客人多的是.女客人會擔心我都建議換女師傅。,正常-normal
就是我們那時候約出來 不可能就是只有打炮嘛,色情-sex word
嗨 我是南漂賣器官的勞倫斯 喜歡戶外 酒吧 夜景 看電影，妳呢？,正常-normal
我要先去洗澡了哈哈,正常-normal
洗臉去角質按摩等等…ing,正常-normal
我沒有這麼咄咄逼人,正常-normal
好色喔,色情-sex word
我不喜歡按摩,正常-normal
月經來不能按摩嗎,正常-normal
好奇，因為現在美容業涵蓋的還蠻廣的！我也很喜歡按摩,正常-normal
我在講幹話啊,正常-normal
都幫我按摩,色情-sex word
我是聽我設計師說洗兩次頭 第一次把油脂洗掉 第二次是按摩頭髮刺激頭皮,正常-normal
馬上幫你按摩,色情-sex word
沒有打砲啦哈哈哈,正常-normal
你脫光光就算有想法我也不敢 說了按摩就是按摩,正常-normal
是現在已婚的好多喔,正常-normal
假日女友會去找他 一定要想辦法解決妳這部分才不會被抓包,正常-normal
也會按摩喔,正常-normal
會睡妳房間嗎,正常-normal
話說妳是去洗澡沒,正常-normal
好想做愛 做的事,色情-sex word
去洗澡整理了,正常-normal
你是約砲？,色情-sex word
只有洗澡的選擇嗎,正常-normal
是按摩的還是？美甲類,正常-normal
哈哈哈這就是逼不得已,正常-normal
我遇過想約炮的呀XD,正常-normal
洗澡幹嘛唱歌哈哈哈,正常-normal
喔幹你152騎drg��,正常-normal
可以玩你的乳頭嗎？,色情-sex word
我要去洗澡了,正常-normal
乳頭先�,色情-sex word
想一手放庭胸部 一手放下面大腿間,色情-sex word
排泄器官的照啊…,色情-sex word
痾⋯⋯⋯⋯怎麼有種感覺她對象不只一個 保險套消失 聊天內容還說沒有戴套？,色情-sex word
只差在還沒開始講幹話而已…,正常-normal
所以妳目前已婚中嗎?,正常-normal
我今天放假妳有空嗎？我可以幫妳按摩。,色情-sex word
我自己沒有喜歡的感覺就沒辦法做愛,正常-normal
約砲也沒什麼不對他自己覺得好就好,色情-sex word
可是你一開始就抱著吃飯看電影或者打炮的目的認識我,正常-normal
我也有砲友聯絡了一年以上,色情-sex word
可能是我洗澡跌倒辣,正常-normal
我也沒說你逼我,正常-normal
看妳工作很辛苦才會想幫妳改善.有按摩師開車載妳來回不收妳錢嗎？,正常-normal
我我我我幫你按摩,色情-sex word
不做愛 純認識,正常-normal
我講幹話,正常-normal
剛剛在洗澡,正常-normal
我還沒洗澡，我被我朋友嫌這樣很髒哈哈,正常-normal
不好意思，剛回家去洗澡,正常-normal
那有小雞雞可以嗎,色情-sex word
我有遇過她只想讓我按摩不當朋友.我也把她當客人。,正常-normal
我沒辦法不洗澡,正常-normal
我又不約砲的！！！你這老司機,正常-normal
胸部,色情-sex word
好色,色情-sex word
直接得了社交牛逼症,正常-normal
我超愛按摩的 哈哈哈,正常-normal
這太逼人了,正常-normal
你快去洗澡啦,正常-normal
你不要目光都在胸部上�,正常-normal
"抱抱親親別再問了，我得認定關 係才做的到�
認識不到多久，隨便跟不熟的人討論這話題會讓我不舒服，我不是要床伴",正常-normal
花多少時間按摩嗎�,正常-normal
剛洗澡完,正常-normal
但不太需要去管後面的車是不是逼你很近,正常-normal
快去洗澡,正常-normal
你是說洗澡卡嗎,正常-normal
喔？所以你有在約砲？,色情-sex word
不用打工就可以去找你按摩了嗎,正常-normal
累啊先去洗澡乖,正常-normal
我高一每次去合作社都超怕遇到雞掰學長,正常-normal
然後順理成章不戴套,色情-sex word
哈哈哈 應該是興奮的尖叫跑走吧 你哥呢？是姪女奴嗎？,正常-normal
我洗澡完了,正常-normal
約砲你,色情-sex word
校園嬌娃（笑援交娃,色情-sex word
她們會直接問要不要約砲？,正常-normal
只不過 最近你有跟異性聊天嗎�還是都孤單一人,正常-normal
有乖乖去洗澡的話就是我的香香小寶了！,色情-sex word
你是用來約砲的吧,色情-sex word
好像沒有沈睡過欸��怎麼辦,正常-normal
"真的
很多難受必須自己調適
在浴室洗澡放聲聽音樂唱歌
滑到好笑的影片
看YT
運動走走
逛一些展覽等等
其實有很多事情可以做~",正常-normal
我就可以陪妳幹話一整天�我對妳很好的,正常-normal
當初應該奸詐一點年紀設定35，那不就數不盡的幸運，太老實了�,正常-normal
喔喔喔然後晚上你在打工嗎,正常-normal
每次新竹沙鹿來回我都睡著哈哈哈一個半小時特車程大概睡個40分鐘吧 火車上也沒辦法睡多熟所以都還沒睡過站,正常-normal
肛交、玩玩具、噴水沒有 其他都有吧,色情-sex word
"我先去洗澡喔，明天聊
妳也早些休息，晚安^^",正常-normal
你可以擠乳溝（？,色情-sex word
我明天再過去插妳今天先吹,色情-sex word
短暫約會就是約砲的ㄟ,色情-sex word
回去要按摩雙腳了吧,正常-normal
幹話都有人信,正常-normal
我還沒洗澡耶,正常-normal
女子監獄附近的按摩店很推薦,正常-normal
哪個國家的人做愛最慢,色情-sex word
那可以趕快去洗澡了�,正常-normal
雖然大部分都是想色色比較多哈哈,色情-sex word
我要先洗澡,正常-normal
我剛洗澡好早,正常-normal
我剛剛去洗澡,正常-normal
洗澡完再說啊,正常-normal
沒關係你現在去洗澡,正常-normal
"強迫的話⋯
我前陣子都會逼自己每天一定要吃90-110克的蛋白質",正常-normal
牠的蛋蛋好大,色情-sex word
我先看片,正常-normal
黑蛋蛋,色情-sex word
有！運動會一結束一回家就洗澡然後睡著了啦好好笑,正常-normal
其實在台中出生,正常-normal
我可以跟他一起賣器官,正常-normal
我先洗澡，較有精神,正常-normal
有視訊色色過嗎,色情-sex word
那趕快洗澡,正常-normal
禮拜五剛睡過頭,正常-normal
要按摩,色情-sex word
我最近要按摩了,正常-normal
幫狗狗洗澡,正常-normal
貓咪很難洗澡吧,正常-normal
等等在洗澡,正常-normal
他自己不早點洗澡換下來,正常-normal
太赤裸了啦,色情-sex word
妳會在意對象的過去嗎 ？我洗澡的時候突然想到的問題,正常-normal
怕明天睡過頭,正常-normal
我先去洗澡��,正常-normal
約見面有 沒有約砲過,正常-normal
等我回去你要幫我按摩按摩嗎,色情-sex word
你下次可以吃奶香鍋,正常-normal
已婚？,正常-normal
大學同學講幹話的那種,正常-normal
我們是做臉按摩的,正常-normal
你可以接受床伴嗎,色情-sex word
我洗澡了,正常-normal
跟播一個禮拜只看一集 會逼死我阿�,正常-normal
12點洗澡都算早了,正常-normal
床伴？,色情-sex word
我的生活模式跟老人家一樣 早睡早起 偶爾熬夜 然後睡過頭,正常-normal
明天再洗澡 快不行了,正常-normal
警專的時候 還一起洗澡,正常-normal
這樣晚上你睡不著了吧,正常-normal
那你對於約砲的人有什麼想法,正常-normal
可是我的禁忌其實就是不要叫我拍裸照然後視訊幹嘛的或者電愛,正常-normal
我都去營地，才能洗澡,正常-normal
假的啦 混個文品而已齁！哈哈哈哈哈 就懂那麼一咪咪而已,正常-normal
問你哦 你會介意床伴關係嗎？,色情-sex word
嗚嗚 身為男性 被拍蛋蛋覺得好不舒服,正常-normal
可能是像你說的都在講幹話,正常-normal
快點我還沒洗澡,正常-normal
"一開始對方就說：
只是找一夜情：
我拒絕了；
我覺得這樣也不錯：
話說明白；
才不會浪費時間，",正常-normal
那這樣洗澡那些有人管理嗎,正常-normal
下午睡過了哈哈,正常-normal
"你問的這個問題不是很好笑嗎？
已婚還會上來交朋友嗎",正常-normal
那樣比較像炮友�,色情-sex word
超怕明天睡過頭,正常-normal
你保證不會聊色我就跟你說,正常-normal
電臀,色情-sex word
不約砲,正常-normal
洗澡完坐著發呆�,正常-normal
有胸的意思嗎,色情-sex word
女生穿丁字褲真的都很好看,色情-sex word
你在說你前砲友是不是,正常-normal
但在外面喝酒情投意合 是認識狀態下 那算一夜情,色情-sex word
在房間運動 運動完要去洗澡,正常-normal
我都睡過,正常-normal
我穿內衣看不出有乳溝�,色情-sex word
最想要的時候就直接做愛,色情-sex word
欸先說我不會跟你約砲喔,正常-normal
所以之後講色色的就可以？,色情-sex word
很喜歡邊抽插邊親親,正常-normal
我還在想要不要起來洗澡了�,正常-normal
不要再被男生騙去打炮了,正常-normal
好好笑⋯哪天如果沒洗澡就上床的話應該會嚇死了！,正常-normal
"對呀 別逼它吃
不然你就放著回去睡一下 起來沒吃完再處理就好 
搞不好牠當下吃不太下過一下他自己餓就來吃完了",正常-normal
